,,,Passing,,,,,,,,,,,,,,,,,
Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A
71,1955,12,12.7,26.5,47.9,159.8,1.3,4.7,1.8,6.8,6,3.9,12.6,159.8,57.1,0,15.8,0,6.02,3.9
72,1954,12,14.8,29.4,50.4,191.6,1.5,5,2,6.9,6.5,4.4,12.9,191.6,61.7,0,19.4,0,6.52,4.4
73,1953,12,14,29.6,47.3,173.8,1.3,4.4,2.1,7.2,5.9,3.5,12.4,173.8,53.6,0,19.4,0,5.86,3.5
74,1952,12,12.9,27.9,46.3,160,1.5,5.4,2.1,7.4,5.7,3.5,12.4,160,55.7,0,26,0,5.72,3.5
75,1951,12,12.6,27,46.6,162.7,1.4,5.2,2,7.4,6,3.7,13,162.7,55.6,0,21.2,0,6.04,3.7
76,1950,13,12.9,27.6,46.6,165.7,1.4,5.1,2.2,8,6,3.4,12.9,165.7,52.9,0,20.5,0,6,3.4
77,1949,10,12.7,27.3,46.6,161,1.4,5.1,2.1,7.5,5.9,3.5,12.7,161,53.9,0,17.6,0,5.9,3.5
78,1948,10,12.5,26,48.1,173.9,1.6,6.3,1.9,7.4,6.7,4.6,13.9,173.9,62.4,,,,,
79,1947,10,11.7,24.9,47,180.6,1.6,6.3,2.1,8.4,7.2,4.7,15.4,180.6,60.1,,,,,
80,1946,10,9.5,21.3,44.8,143.1,1.1,5.4,1.9,9.1,6.7,3.7,15,143.1,47.6,,,,,
81,1945,10,9.6,21.1,45.6,143.8,1.1,5.2,1.9,9.2,6.8,3.7,15,143.8,47.6,,,,,
82,1944,10,9.1,21.1,42.9,129.3,1.2,5.5,2.3,11.1,6.1,2.2,14.3,129.3,42.1,,,,,
83,1943,8,9.6,21.7,44.4,141.4,1.4,6.6,2.3,10.5,6.5,3.1,14.7,141.4,48.6,,,,,
84,1942,10,9,20.4,43.8,123.8,1,4.8,2,9.7,6.1,2.6,13.8,123.8,40.3,,,,,
85,1941,10,8.9,20.1,44.3,121.8,0.9,4.5,2,10,6.1,2.5,13.7,121.8,39.6,,,,,
86,1940,10,8.8,20.5,42.9,125.3,0.9,4.4,2,9.9,6.1,2.6,14.2,125.3,38.6,,,,,
87,1939,10,8.7,20.3,42.5,128.8,0.9,4.4,1.9,9.3,6.3,3,14.9,128.8,39.7,,,,,
88,1938,10,7.5,18.5,40.6,105.8,0.8,4.6,2,10.9,5.7,1.8,14.1,105.8,35.5,,,,,
89,1937,10,6.3,16.5,38.4,93,0.8,5,1.9,11.3,5.6,1.5,14.7,93,34.5,,,,,
90,1936,9,5.6,15.3,36.5,83,0.6,4,2,13,5.4,0.4,14.8,83,28.9,,,,,
91,1935,9,5.2,15.4,33.9,79.7,0.6,3.9,2.2,14.6,5.2,-0.6,15.3,79.7,25.4,,,,,
92,1934,11,4.2,13.4,31.4,59.3,0.5,3.5,1.7,12.8,4.4,-0.6,14.1,59.3,18.8,,,,,
93,1933,10,5.1,14.3,35.3,77.9,0.5,3.5,2.2,15.3,5.4,-0.7,15.4,77.9,26.3,,,,,
94,1932,8,3.9,10.9,35.6,55.2,0.4,4,1,9.4,5.1,1.7,14.2,55.2,27.2,,,,,
